"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1960636297133121813","Wed Aug 27 09:31:40 +0000 2025","3","2 Apa kontribusi [prodi kamu] dalam kemajuan indonesia? jawab yang realistis sesuai pandangan kamu even better kalo pake data. contoh karena prodi-ku Sastra Inggris aku mention data terkait kemampuan bahasa inggris masyarakat Indonesia indeks literasi digital dsb nya","1960636319866212604","","alifyuhh","in","","0","1","1","https://x.com/undefined/status/1960636319866212604","1213787016099323905",
"1960636140341616757","Wed Aug 27 09:31:00 +0000 2025","0","Meskipun penangkapan ini penting maraknya judi online menunjukkan tantangan besar. Regulasi dan pengawasan finansial di Indonesia perlu lebih ketat. Kurangnya literasi digital serta kemudahan akses memicu banyak pihak terjebak dalam praktik ilegal ini.","1960636154656776192","","txtdarillm","in","","0","1","0","https://x.com/undefined/status/1960636154656776192","1795100176639815680",
"1960636100356997260","Wed Aug 27 09:30:47 +0000 2025","0","Yeay literasi digital meningkat bikin netizen makin cerdas. Kita Nyaman Karena Aman https://t.co/9Y4EjG8fZ5","1960636100356997260","","","in","","0","0","0","https://x.com/undefined/status/1960636100356997260","1942362806185349120",
"1960636086889123882","Wed Aug 27 09:30:44 +0000 2025","0","Yeay literasi digital jadi modal penting hadapi serangan siber. Kita Nyaman Karena Aman https://t.co/eYbvhhTpWN","1960636086889123882","","","in","","0","0","0","https://x.com/undefined/status/1960636086889123882","1941992784866795520",
"1960636073404461486","Wed Aug 27 09:30:41 +0000 2025","0","Yeay literasi digital bikin masyarakat lebih tangguh hadapi ancaman. Kita Nyaman Karena Aman https://t.co/Xn5oCEA8B4","1960636073404461486","","","in","","0","0","0","https://x.com/undefined/status/1960636073404461486","1941034969817812992",
"1960636007629390112","Wed Aug 27 09:30:25 +0000 2025","0","Yeay literasi digital bikin masyarakat lebih siap menghadapi siber. Kita Nyaman Karena Aman https://t.co/Ne2aW6BwJb","1960636007629390112","","","in","","0","0","0","https://x.com/undefined/status/1960636007629390112","1942046472176128000",
"1960635994174026103","Wed Aug 27 09:30:22 +0000 2025","0","Yeay ! Literasi digital bikin masyarakat cerdas hadapi siber. Kita Nyaman Karena Aman https://t.co/Cgx3LlOppL","1960635994174026103","","","in","","0","0","0","https://x.com/undefined/status/1960635994174026103","1941996143434735616",
"1960635735402254380","Wed Aug 27 09:29:20 +0000 2025","0","Yeay literasi digital bikin masyarakat lebih tangguh hadapi siber. Kita Nyaman Karena Aman https://t.co/edlB0zlTbW","1960635735402254380","","","in","","0","0","0","https://x.com/undefined/status/1960635735402254380","1923461193051635712",
"1960635446704140457","Wed Aug 27 09:28:11 +0000 2025","0","Wuihh literasi digital bikin semua generasi makin cerdas. Kita Nyaman Karena Aman https://t.co/YIacYg6n53","1960635446704140457","","","in","","0","0","0","https://x.com/undefined/status/1960635446704140457","1908868680131248128",
"1960635433143926982","Wed Aug 27 09:28:08 +0000 2025","0","Wuihh literasi digital bikin anak muda melek siber. Kita Nyaman Karena Aman https://t.co/zzWVr6UX7N","1960635433143926982","","","in","","0","0","0","https://x.com/undefined/status/1960635433143926982","1908600791209738241",
"1960635419680215280","Wed Aug 27 09:28:05 +0000 2025","0","Wuihh literasi digital bikin anak muda makin melek keamanan siber. Kita Nyaman Karena Aman https://t.co/7OXIghNOUj","1960635419680215280","","","in","","0","0","0","https://x.com/undefined/status/1960635419680215280","1714195958",
"1960635159411052988","Wed Aug 27 09:27:03 +0000 2025","0","Wahh literasi digital akan mendorong masyarakat jadi pengguna internet yang bijak. Kita Nyaman Karena Aman https://t.co/JyihcBEhbb","1960635159411052988","","","in","","0","0","0","https://x.com/undefined/status/1960635159411052988","1923630663867170816",
"1960634807949340998","Wed Aug 27 09:25:39 +0000 2025","0","Senangnya literasi digital bikin anak muda makin melek keamanan siber. Kita Nyaman Karena Aman https://t.co/X2N3hrvoDF","1960634807949340998","","","in","","0","0","0","https://x.com/undefined/status/1960634807949340998","1309728618",
